Date,Portfolio_Value,Cash,Positions,Nifty50_Price,Nifty500_Price
2026-08-30,499274.21,15412.09,10,24175.65,23528.55
2026-08-31,504558.86,15412.09,10,24080.4,23450.35
2026-09-01,499915.26,15412.09,10,24055.8,23339.9
2026-09-02,491945.95,15412.09,10,23914.45,23222.8
2026-09-03,493048.85,15412.09,10,23873.45,23254.05
